audiourl,title,artist,catalogue,writer,publishing
,Scream Baby Scream,Sur Royal Da Count The Parliaments,45-174
,Scream Mother Scream,Sur Royal Da Count The Parliaments,45-174
,Do You Love Me,"Sonics, The",45-175
,Money,"Sonics, The",45-175
,Ingrid,Sonny Gee with The Standels,45-176
,Tidal Wave,Sonny Gee with The Standels,45-176
,I Can't Keep From Crying,Purple Majesty,45-177
,In This Day and Age ,Purple Majesty,45-177
,All the Time,Bloodshot Bill,45-178
,Shackin' Up,Daddy Long Legs,45-178
,I Need Your Lovin',Jerry and The Del-Rays,45-179
,Question Mark,Jerry and The Del-Rays,45-179
,The One Who Really Loves You,La La Brooks,45-180,,
,What's Mine is yours,La La Brooks,45-180,,
,Somethin' Else,"Flamin Groovies, The",45-181,,"Emi Unart Catalog Inc, Robert Cochran Music"
,Too Late For Your Lies,"Flamin Groovies, The",45-181,,Loney TUnes Muisc
,Here Comes The Garage Man,Tico and The Triumphs,45-182,,
,The Biggest Lie I Ever Told,Tico and The Triumphs,45-182,,
,My Love Has Gone,Miriam,45-183,,"Appoline Avenue Music, Belton Street Music Inc, Bumblebee Shidel MUsic Inc"
,There Goes My Babe,Miriam,45-183,,"BRoken Arrow Music Corporation, RIchie Furay Music"
,I Had A Dream,Dondee and The Glades,45-184,,
,That's When I Cried,Dondee and The Glades,45-184,,
,Fantabulous,Johnny Burnette with Dorsey Burnette,45-185,,
,You Gotta Get Ready,Johnny Burnette with Dorsey Burnette,45-185,,
,Naughty Or Nice,Bloodshot Bill,45-186,,
